년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2012-01-01,전국,-1.5,-6.2,3.6
2012-02-01,전국,-1.1,-6.2,4.5
2012-03-01,전국,5.4,0.7,10.4
2012-04-01,전국,12.4,6.4,18.7
2012-05-01,전국,18.1,12.6,24.4
2012-06-01,전국,21.9,17.7,27.1
2012-07-01,전국,25.2,21.8,29.6
2012-08-01,전국,26.2,22.8,30.5
2012-09-01,전국,19.9,15.8,25
2012-10-01,전국,14,8.3,20.8
2012-11-01,전국,6.2,1.5,11.4
2012-12-01,전국,-2.1,-6.5,2.7
2013-01-01,전국,-2.5,-7.4,2.9
2013-02-01,전국,0.4,-4.6,5.5
2013-03-01,전국,6.4,0,13.3
2013-04-01,전국,10.1,4.1,16.1
2013-05-01,전국,17.6,11.8,24
2013-06-01,전국,22.5,18.3,27.6
2013-07-01,전국,26,23,29.9
2013-08-01,전국,27,23.1,32
2013-09-01,전국,20.9,16.6,26.2
2013-10-01,전국,15.1,9.9,21.5
2013-11-01,전국,6.7,1.9,12.3
2013-12-01,전국,1.1,-3.4,6.1
2014-01-01,전국,0.2,-5.2,6
2014-02-01,전국,2.3,-2.5,7.7
2014-03-01,전국,7.5,1.8,13.4
2014-04-01,전국,13.1,7.2,19.7
2014-05-01,전국,18.2,11.9,24.9
2014-06-01,전국,21.6,17.7,26.6
2014-07-01,전국,24.8,21.1,29.6
2014-08-01,전국,23.6,20.6,27.6
2014-09-01,전국,20.6,16.1,26.3
2014-10-01,전국,14.5,9.1,21
2014-11-01,전국,8.5,3.6,14.2
2014-12-01,전국,-0.9,-5.5,4.1
2015-01-01,전국,0.2,-4.4,5.3
2015-02-01,전국,1.7,-2.9,7
2015-03-01,전국,6.5,0.1,13.3
2015-04-01,전국,12.5,7,18.4
2015-05-01,전국,18.4,12,25
2015-06-01,전국,21.5,16.9,27
2015-07-01,전국,24.2,20.7,28.5
2015-08-01,전국,25,21.1,30.1
2015-09-01,전국,20.2,15.2,26.1
2015-10-01,전국,14.7,9.2,21.4
2015-11-01,전국,9.8,6.3,13.9
2015-12-01,전국,3.2,-1,7.9
2016-01-01,전국,-1.3,-5.6,3.5
2016-02-01,전국,1.4,-3.6,6.9
2016-03-01,전국,6.9,1.2,13.1
2016-04-01,전국,13.6,7.9,20.1
2016-05-01,전국,18.4,12.1,25
2016-06-01,전국,22.2,17.9,27.2
2016-07-01,전국,25.2,21.8,29.7
2016-08-01,전국,26.5,22.2,31.9
2016-09-01,전국,21.4,17.8,26
2016-10-01,전국,15.5,11.6,20.5
2016-11-01,전국,7.5,2.6,13.1
2016-12-01,전국,2.7,-2,8
2017-01-01,전국,-0.3,-5.2,5.2
2017-02-01,전국,1.4,-4.2,7.1
2017-03-01,전국,6,0.2,12.4
2017-04-01,전국,13.6,7.5,20.2
2017-05-01,전국,18.5,12.1,25.2
2017-06-01,전국,21.6,16.3,27.7
2017-07-01,전국,26.2,23,30.4
2017-08-01,전국,25.2,21.6,29.7
2017-09-01,전국,20.3,15.4,26.1
2017-10-01,전국,15.1,10.5,20.8
2017-11-01,전국,6.5,0.9,12.7
2017-12-01,전국,-0.5,-5.4,4.7
2018-01-01,전국,-2.4,-6.8,2.7
2018-02-01,전국,-0.5,-6.1,5.5
2018-03-01,전국,7.9,2.1,14.1
2018-04-01,전국,13.1,7,19.5
2018-05-01,전국,17.7,12.4,23.3
2018-06-01,전국,22.1,17.3,27.7
2018-07-01,전국,26.6,22.6,31.5
2018-08-01,전국,27.1,23.1,32.1
2018-09-01,전국,20.2,15.9,25.1
2018-10-01,전국,12.7,7.5,19
2018-11-01,전국,7.7,2.6,14.2
2018-12-01,전국,0.8,-3.9,6.1
2019-01-01,전국,-0.1,-5.4,6
2019-02-01,전국,2.1,-2.9,7.9
2019-03-01,전국,7.2,1.3,13.6
2019-04-01,전국,11.7,5.9,17.9
2019-05-01,전국,18.4,11.5,25.4
2019-06-01,전국,21.2,16.5,26.7
2019-07-01,전국,24.7,21.3,28.9
2019-08-01,전국,26,22.1,30.8
2019-09-01,전국,21.5,17.8,26.3
2019-10-01,전국,15.5,10.7,21.3
2019-11-01,전국,8.4,3.1,14.9
2019-12-01,전국,2.5,-2.1,7.8
2020-01-01,전국,2.5,-1.5,7.4
2020-02-01,전국,3.4,-1.6,8.9
2020-03-01,전국,7.7,1.6,14
2020-04-01,전국,10.6,4.3,17.1
2020-05-01,전국,17.6,12.6,23.1
2020-06-01,전국,22.7,18.2,28
2020-07-01,전국,22.5,19.6,26.2
2020-08-01,전국,26.4,23.5,30.5
2020-09-01,전국,20.1,16.3,24.9
2020-10-01,전국,13.7,8.3,20
2020-11-01,전국,8.5,3.4,14.2
2020-12-01,전국,0.4,-4.4,5.9
2021-01-01,전국,-1.1,-6.3,4.5
2021-02-01,전국,3.4,-2.2,9.4
2021-03-01,전국,8.7,3.1,14.8
2021-04-01,전국,13.2,7.3,19.3
2021-05-01,전국,16.6,11.4,22.2
2021-06-01,전국,21.7,17.5,26.7
2021-07-01,전국,26,22.2,30.8
2021-08-01,전국,24.8,21.5,29.2
2021-09-01,전국,21.3,17.7,25.8
2021-10-01,전국,15.1,10.4,21.2
2021-11-01,전국,8.3,3.3,14.5
2021-12-01,전국,1.9,-3.1,7.4
