,date,price
0,2012-01-31,3202
1,2012-02-29,3668
2,2012-03-31,4169
3,2012-04-30,3399
4,2012-05-31,3255
5,2012-06-30,3493
6,2012-07-31,3703
7,2012-08-31,3745
8,2012-09-30,3275
9,2012-10-31,3520
10,2012-11-30,3519
11,2012-12-31,3340
12,2013-01-31,3232
13,2013-02-28,3935
14,2013-03-31,4010
15,2013-04-30,3295
16,2013-05-31,3535
17,2013-06-30,3762
18,2013-07-31,4177
19,2013-08-31,4015
20,2013-09-30,3450
21,2013-10-31,4092
22,2013-11-30,3684
23,2013-12-31,3316
24,2014-01-31,3368
25,2014-02-28,3391
26,2014-03-31,3651
27,2014-04-30,3964
28,2014-05-31,3017
29,2014-06-30,3118
30,2014-07-31,3223
31,2014-08-31,3249
32,2014-09-30,3008
33,2014-10-31,3632
34,2014-11-30,3638
35,2014-12-31,3745
36,2015-01-31,3725
37,2015-02-28,3802
38,2015-03-31,3690
39,2015-04-30,3549
40,2015-05-31,3106
41,2015-06-30,3157
42,2015-07-31,3384
43,2015-08-31,3192
44,2015-09-30,2866
45,2015-10-31,2944
46,2015-11-30,2895
47,2015-12-31,3215
48,2016-01-31,3072
49,2016-02-29,2938
50,2016-03-31,3050
51,2016-04-30,2793
52,2016-05-31,2898
53,2016-06-30,3334
54,2016-07-31,3172
55,2016-08-31,3579
56,2016-09-30,3223
57,2016-10-31,3858
58,2016-11-30,3158
59,2016-12-31,2684
60,2017-01-31,2733
61,2017-02-28,3926
62,2017-03-31,3818
63,2017-04-30,3894
64,2017-05-31,4456
65,2017-06-30,3191
66,2017-07-31,3221
67,2017-08-31,2811
68,2017-09-30,2664
69,2017-10-31,3105
70,2017-11-30,3063
71,2017-12-31,2640
72,2018-01-31,2513
73,2018-02-28,2877
74,2018-03-31,3243
75,2018-04-30,3070
76,2018-05-31,2977
77,2018-06-30,2630
78,2018-07-31,3297
79,2018-08-31,3819
80,2018-09-30,3057
81,2018-10-31,3307
82,2018-11-30,2938
83,2018-12-31,3827
84,2019-01-31,4281
85,2019-02-28,3384
86,2019-03-31,3397
87,2019-04-30,3166
88,2019-05-31,2841
89,2019-06-30,2656
90,2019-07-31,2783
91,2019-08-31,2808
92,2019-09-30,2524
93,2019-10-31,3011
94,2019-11-30,2500
95,2019-12-31,2834
96,2020-01-31,2750
97,2020-02-29,2913
98,2020-03-31,2834
99,2020-04-30,2530
100,2020-05-31,2457
101,2020-06-30,2759
102,2020-07-31,2972
103,2020-08-31,3060
104,2020-09-30,3053
105,2020-10-31,2682
106,2020-11-30,2931
107,2020-12-31,3314
108,2021-01-31,3985
109,2021-02-28,3382
110,2021-03-31,3148
111,2021-04-30,3215
112,2021-05-31,2923
113,2021-06-30,2863
114,2021-07-31,3646
115,2021-08-31,3505
116,2021-09-30,3074
117,2021-10-31,3913
118,2021-11-30,2985
119,2021-12-31,3320
